,value
lambda_hat,-0.0005972807596713877
lambda_se,0.00012819821123516222
lambda_ci_95_lo,-0.0008497216088561409
lambda_ci_95_hi,-0.0003505241185126294
lambda_t_stat,-4.6590412917365684
lambda_uncentered,-0.0005972751064558886
lambda_centering_difference,-5.6532154991311215e-09
lambda_centering_relative_diff_pct,0.0009464921492266737
R2_output_cross_cov,0.0008928033307896739
sigma_T,0.64279
sigma_X_marginal,0.0133445
lambda_sigma_T,-0.0003839260995091713
sigma_J_state,0.013338976010178432
temp_variance_share_state_pct,0.0827733745997166
lambda_from_driver_regression,-0.0006384145975351538
sigma_J_driver_marginal_units,0.9947187039438712
price_idio_driver_mean,0.00017870608049850046
price_idio_driver_std,0.9951324874991082
price_idio_driver_corr_with_temp,-0.0019265090503382326
joint_loglik,52670.65557470419
joint_AIC_6_params,-105329.31114940839
joint_raw_cov_error,2.230035130976237e-09
joint_centered_cov_error,5.421010862427522e-20
joint_raw_corr,-0.02987981477167611
joint_mean_model_corr,-0.028765356474632905
price_RMSE,0.012774990171023218
price_MAE,0.007582221654221649
price_R2,0.8553122193128353
price_innov_mean_z,0.00010142944747450837
price_innov_std_z,0.9954021973270423
best_temperature_driver_model,NIG
best_price_marginal_driver_model,NIG
best_price_idiosyncratic_driver_model,NIG
